SK_ID_CURR,TARGET
100001,0.27186188
100005,0.6518676
100013,0.5250862
100028,0.46423596
100038,0.6262859
100042,0.38081715
100057,0.060812227
100065,0.3615946
100066,0.1517711
100067,0.5780045
100074,0.34406546
100090,0.46571657
100091,0.6143578
100092,0.54735154
100106,0.31160206
100107,0.619315
100109,0.5528001
100117,0.18272929
100128,0.50478184
100141,0.2874522
100150,0.28839743
100168,0.08999924
100169,0.54025495
100170,0.735163
100171,0.45643842
100172,0.5856496
100184,0.58162034
100187,0.3625772
100212,0.20212618
100222,0.45059466
100223,0.2307052
100232,0.057790633
100241,0.6021964
100245,0.2681179
100253,0.23643462
100256,0.6398601
100271,0.06668439
100278,0.77961946
100280,0.07685535
100306,0.63828665
100311,0.5612993
100312,0.062388834
100330,0.51157147
100331,0.33851722
100352,0.5892942
100358,0.5736356
100367,0.42801636
100382,0.5698218
100384,0.31576946
100385,0.53981566
100386,0.23358448
100399,0.26013494
100404,0.30984056
100416,0.17373824
100422,0.37548363
100426,0.45912597
100438,0.29243293
100444,0.6276896
100445,0.5005713
100446,0.5040586
100447,0.27529708
100450,0.6614579
100466,0.0731967
100483,0.1821899
100484,0.05596396
100494,0.52424914
100510,0.71268153
100512,0.10526264
100517,0.23192288
100548,0.50478184
100551,0.22267096
100552,0.56809604
100553,0.27690566
100561,0.78942776
100568,0.7164508
100569,0.12821944
100591,0.3468656
100592,0.39545664
100602,0.20212668
100607,0.54182076
100613,0.32087243
100617,0.50478184
100618,0.25183532
100622,0.55600435
100625,0.46244112
100677,0.48243195
100699,0.36211506
100702,0.768521
100711,0.3578643
100729,0.56277263
100740,0.57760584
100744,0.48338807
100745,0.40513396
100747,0.5477257
100751,0.76223797
100752,0.47907734
100753,0.73294854
100754,0.72173697
100760,0.22774564
100762,0.64708054
100763,0.23307505
100765,0.19086128
100770,0.55335635
100772,0.30661628
100777,0.1412002
100791,0.24720626
100792,0.079930395
100797,0.18512952
100823,0.2849137
100826,0.25526693
100830,0.2759399
100836,0.63322043
100872,0.46951234
100910,0.36641222
100913,0.50478184
100918,0.35056424
100931,0.11139528
100952,0.26520827
100953,0.16830443
100965,0.6255305
100970,0.2195623
100982,0.6422087
100983,0.70078164
100984,0.50478184
100987,0.4748349
100997,0.35045034
100998,0.6516923
101002,0.2557062
101005,0.65791035
101008,0.6731364
101020,0.27193698
101021,0.60788333
101024,0.44223812
101025,0.7476489
101026,0.2034455
101031,0.23499887
101041,0.16947444
101051,0.05420807
101055,0.5705546
101056,0.8368455
101057,0.36268
101064,0.4362187
101079,0.58729047
101087,0.28894228
101090,0.29877
101092,0.44853833
101097,0.5764755
101099,0.13457733
101107,0.5689641
101118,0.30951026
101125,0.5456988
101126,0.055322155
101128,0.19584548
101136,0.5821608
101140,0.55942404
101149,0.5073289
101160,0.56784165
101169,0.65572363
101181,0.42834985
101186,0.0907421
101190,0.50922304
101193,0.58414507
101194,0.60113585
101198,0.5548946
101200,0.21024425
101204,0.20620906
101211,0.47121543
101213,0.35834536
101223,0.23406608
101225,0.53962094
101237,0.50478184
101243,0.51102597
101244,0.57191265
101258,0.1564731
101259,0.54471254
101268,0.56009936
101269,0.317907
101271,0.3293097
101279,0.10399748
101281,0.7587611
101287,0.50478184
101292,0.3846761
101294,0.3761172
101296,0.5304884
101297,0.15406796
101299,0.23446149
101301,0.50478184
101305,0.50478184
101308,0.52218384
101318,0.1677644
101327,0.65945387
101329,0.17811573
101332,0.34210157
101337,0.38234696
101343,0.17487124
101345,0.22647904
101346,0.12157424
101353,0.17322473
101354,0.5976554
101355,0.56888187
101356,0.28716496
101362,0.6699622
101363,0.70662284
101365,0.08849195
101366,0.40418977
101367,0.66612756
101368,0.09562251
101374,0.667169
101380,0.14799121
101383,0.22711731
101398,0.08083227
101399,0.69281626
101401,0.69857633
101412,0.5172188
101426,0.31586954
101427,0.77288246
101428,0.5689538
101429,0.6433705
101434,0.15729295
101440,0.676753
101448,0.40859607
101449,0.35485923
101465,0.51501685
101467,0.2536754
101472,0.4138431
101478,0.6972716
101497,0.44479236
101504,0.50478184
101547,0.18525067
101548,0.39728087
101555,0.58712417
101570,0.07399493
101572,0.36900955
101578,0.39580587
101580,0.5922737
101588,0.6019852
101602,0.3957083
101610,0.6303791
101614,0.5056779
101616,0.46960497
101643,0.5976736
101644,0.4537702
101649,0.50478184
101650,0.44473225
101665,0.12653044
101667,0.54410005
101669,0.50478184
101674,0.5788443
101675,0.14520304
101678,0.5020956
101682,0.36862952
101686,0.24253005
101697,0.6884381
101700,0.7417727
101711,0.2227411
101714,0.18573679
101715,0.6470622
101728,0.3107398
101732,0.33511233
101757,0.5906638
101758,0.575527
101759,0.44925323
101762,0.23548323
101764,0.6183528
101780,0.6879137
101784,0.15585512
101789,0.15337373
101816,0.37810472
101819,0.4968197
101827,0.07608674
101863,0.50478184
101867,0.25470096
101870,0.14837046
101873,0.7183568
101878,0.5298479
101879,0.5341026
101880,0.18658681
101887,0.4596406
101897,0.19971417
101901,0.56397736
101903,0.7043845
101920,0.596086
101921,0.31547526
101922,0.28086147
101961,0.65130866
101962,0.18114255
101971,0.50478184
101976,0.7195526
102002,0.55182695
102005,0.15919735
102007,0.74318546
102017,0.12600923
102019,0.6102344
102029,0.09000694
102051,0.694143
102052,0.07806644
102054,0.1525792
102062,0.49609715
102067,0.6609172
102068,0.50478184
102070,0.33518302
102090,0.5733851
102092,0.39864793
102099,0.65721726
102100,0.33042726
102112,0.5225537
102113,0.2987234
102122,0.7169198
102123,0.3122615
102125,0.12920363
102126,0.6927134
102146,0.17194709
102147,0.5185651
102151,0.35528943
102158,0.50850505
102159,0.2624613
102162,0.5310566
102165,0.4586343
102166,0.31807947
102174,0.1730869
102193,0.64362395
102198,0.21940728
102205,0.6638679
102206,0.0798245
102218,0.17121992
102221,0.29627827
102230,0.5925007
102238,0.27408582
102248,0.27985948
102252,0.65559447
102259,0.4121794
102262,0.6526799
102273,0.29382476
102286,0.5448031
102293,0.08801742
102294,0.12916641
102296,0.43054417
102298,0.42704782
102303,0.09781403
102309,0.21287106
102315,0.29280883
102340,0.5219413
102342,0.5587451
102344,0.25958776
102346,0.50478184
102347,0.18086982
102374,0.5250125
102380,0.34788102
102387,0.122755714
102393,0.35507527
